id	string
1	Velika Midnight Oil
2	Bound Scroll of Full Resurrection
3	Kaia's Bound Mead
4	Seren's Bound Perfume
5	Lelyn's Bound Bandage
6	Bound Greater Onslaught Charm
7	Bound Greater Ethereal Charm
8	Bound Greater Sanguine Charm
9	Bound Cracker Confetti
10	Bound Fireworks
11	Collector's Bound Relentless Cardyl
12	Collector's Bound Cunning Cardyl
13	Seeds of Rebellion
14	Catharnach Award
15	Alkahest
16	Name Change Voucher
17	Personal City Wheel Earring
18	Personal Pioneer's Pendant
19	Personal Seren's Sand Ring
20	Riding Skill: Bay Gelding
21	Riding Skill: Fast Bay Gelding
22	Support Token
23	Progress Token
24	Dedication Token
25	Frontlines Token
26	Midnight Oil
27	Scroll of Full Resurrection
28	Kaia's Mead
29	Seren's Perfume
30	Lelyn's Bandage
31	Onslaught Charm
32	Ethereal Charm
33	Sanguine Charm
34	Cracker Confetti
35	Fireworks
36	Collector's Relentless Cardyl
37	Collector's Cunning Cardyl
38	City Wheel Earring
39	Pioneer's Pendant
40	Seren's Sand Ring
41	Riding Skill: Fast White Stallion
42	Personal Riding Skill: Fast White Stallion
43	Bound Symon's Stolen Soup
44	Symon's Stolen Soup
45	Cupra Ensiform
46	Argent Ensiform
47	Aurel Ensiform
50	Ring of Vows
51	Veridian Extract
52	Sturdy Alkahest
53	Retro Alkahest
54	Oxbow Badge
55	Trial Badge
56	Necrotic Badge
57	Duality Badge
59	Common Pet Pooky
60	Common Pet Tuwangi
61	Common Pet Mewy
62	Common Pet Dahlia
63	Uncommon Pet Pooky
64	Uncommon Pet Tuwangi
65	Uncommon Pet Mewy
66	Uncommon Pet Dahlia
67	[Binding] Cracker Confetti II
68	Cracker Confetti II
69	Uncommon Pet Imp
70	Summon: Bay Gelding
71	Master Enigmatic Scroll
72	Challenge Receipt
73	Yoki's Trinket
74	Shan's Trinket
75	Nepir's Trinket
76	Common Pet Tuwangi
77	Common Pet Mewy
78	Common Pet Dahlia
79	Uncommon Pet Pooky
80	Uncommon Pet Tuwangi
81	Uncommon Pet Mewy
82	Uncommon Pet Dahlia
83	Rare Pet Pooky
84	Rare Pet Tuwangi
85	Rare Pet Mewy
86	Rare Pet Dahlia
87	Superior Pet Pooky
88	Superior Pet Tuwangi
89	Old Engine of Crystalline Mischief
91	Common Identification Scroll
92	Intricate Identification Scroll
93	Common Enigmatic Scroll
94	Intricate Enigmatic Scroll
95	Pet Training: Buying and Selling
96	Training: Selling
97	Pet Training: Purchasing
98	Campfire
99	Firewood
100	Old Engine of Multiplicative Mischief
101	Old Engine of Crystalline Mischief
102	Old Engine of Transmogrifying Mischief
103	Holy Potion of Protection
104	[Bound] Velik's Bloodstone Necklace
105	Velik's Bloodstone Necklace
106	[Bound] Shakan's Bloodstone Necklace
107	Shakan's Bloodstone Necklace
111	Rejuvenation Potion
112	Rejuvenation Potion
113	Federation Savage Draught
114	Valkyon Health Potion
115	Manacache
116	Health Potion
117	Battle Panacea
118	Potion of Cultural Opportunity
119	Vigorous Renewal Draught
120	Infused Renewal Draught
121	Powerful Savage Draught
122	Tenacious Savage Draught
123	Powerful Rival Draught
124	Tenacious Rival Draught
125	Keener's Bandage
126	Verdra Bandage
127	Sylva Bandage
128	Shetla Bandage
129	Arunic Panacea
130	Divine Infusion
131	Lok's Eye
132	Shakan's Claw Pendant
133	Island of Dawn Teleport Scroll
134	Lumbertown Teleport Scroll
135	Crescentia Teleport Scroll
136	Popolion Teleport Scroll
137	Pora Elinu Teleport Scroll
138	Chebika Teleport Scroll
139	Tulufan Teleport Scroll
140	Cutthroat Harbor Teleport Scroll
141	Castanica Teleport Scroll
142	Balderon Teleport Scroll
143	Velika Teleport Scroll
144	Frontera Teleport Scroll
145	Tria Teleport Scroll
146	Tralion Teleport Scroll
147	Acarum Teleport Scroll
148	Bleakrock Teleport Scroll
149	Elenea Teleport Scroll
150	Unyielding Bastion Teleport Scroll
151	Allemantheia Teleport Scroll
152	Dragonfall Teleport Scroll
153	Scythera Fae Teleport Scroll
154	Pathfinder Post Teleport Scroll
155	Zulfikar Fortress Teleport Scroll
156	Kanstria Teleport Scroll
157	Davarn's Refuge Teleport Scroll
158	Habere Teleport Scroll
159	Kaiator Teleport Scroll
160	Safe Haven Teleport Scroll
161	Personal Riding Skill: Arcadian Dapple
162	Personal Riding Skill: Chestnut Gelding
163	Personal Riding Skill: Velikan Gray
164	Personal Riding Skill: Pinto
165	Personal Riding Skill: Blue Roan
166	Riding Skill: Arcadian Dapple
167	Riding Skill: Chestnut Gelding
168	Riding Skill: Velikan Gray
169	Riding Skill: Pinto
170	Riding Skill: Blue Roan
171	Combat Panacea
172	Keener's Medicated Bandage
173	Verdra Medicated Bandage
174	Sylva Medicated Bandage
175	Shetla Medicated Bandage
176	Toira Medicated Bandage
177	Luria Medicated Bandage
178	Power Charm
179	Keen Charm
180	Speed Charm
181	Strength Charm
182	Enduring Charm
183	Unyielding Charm
184	Rigid Charm
185	Robust Charm
186	Caduceus Charm
187	Tenacity Charm
188	Mirror Charm
189	Relentless Charm
190	Cunning Charm
191	Vigorous Charm
192	Infused Charm
193	Swift Charm
194	Scroll of Rapid Resurrection
195	Necromancer Tomb Teleport Scroll
196	Golden Labyrinth Teleport Scroll
197	Bastion of Lok Teleport Scroll
198	Sinestral Manor Teleport Scroll
199	Cultists' Refuge Teleport Scroll
200	Akasha's Hideout Teleport Scroll
201	Red Dye
202	Orange Dye
203	Yellow Dye
204	Green Dye
205	Blue Dye
206	Veteran Apothecary Dye
207	Purple Dye
208	Mystery Dye
209	Cochineal Beetle
210	Purpurin Root
211	Saffron Stalk
212	Verdigris Flake
213	Indigo Petal
214	Rutile Crystal
215	Murex Snail
216	Empty Vial
217	Carmine Dye Kit
218	Purpurin Dye Kit
219	Saffron Dye Kit
220	Verdigris Dye Kit
221	Indigo Dye Kit
222	Munsell Dye Kit
223	Murex Dye Kit
224	Carmine Dye
225	Purpurin Dye
226	Saffron Dye
227	Verdigris Dye
228	Indigo Dye
229	Handmade Munsell Dye Bundle
230	Murex Dye
231	Spectral Carmine Dye
232	Spectral Purpurin Dye
233	Spectral Saffron Dye
234	Spectral Verdigris Dye
235	Spectral Indigo Dye
236	Premium Handmade Munsell Dye Bundle
237	Spectral Murex Dye
238	Spectral Red Dye
239	Spectral Orange Dye
240	Spectral Yellow Dye
241	Spectral Green Dye
242	Spectral Blue Dye
243	Spectral Apothecary Dye
244	Spectral Purple Dye
245	Ephemeral Red Dye
246	Ephemeral Orange Dye
247	Ephemeral Yellow Dye
248	Ephemeral Green Dye
249	Ephemeral Blue Dye
250	Ephemeral Purple Dye
251	Darkshade Dye
252	Shades of Gray Dye
253	Summon: Training Bay Gelding
254	Federation Reliquary Station Teleport Scroll
255	Totem Staff Fragment
256	Totem Staff
257	Hersha Marnia's Loot Box
258	Darumag's Loot Box
259	Totem Emblem
300	Companion Appearance Change Voucher
301	Race Change Voucher
302	Gender Change Voucher
303	Appearance Change Voucher
304	Riding Skill: Battle Charger
305	Kaia's Binding
306	Riding Skill: Fast Arcadian Dapple
307	Riding Skill: Fast Pinto
308	Gold Surprise Egg
309	Platinum Surprise Egg
310	Bronze Surprise Egg
311	Smart TV coupon
312	Notebook coupon
313	Graphic Card coupon
314	LED Monitor coupon
315	Gift card coupon
316	Riding Skill: Night Mare
317	Eldritch Badge
318	Eldritch Blades of the Witch
319	Eldritch Lance of the Witch
320	Astraelir Greatsword
321	Astraelir Cleaver
322	Eye of the Witch
323	Astraelir Warbow
324	Baelstaff of Zuras
325	Rod of the Witch
326	Saleron's Sky Garden Teleport Scroll
327	Labyrinth of Terror Teleport Scroll
328	Ebon Tower Teleport Scroll
329	Kelsaik's Nest Teleport Scroll
330	Name Change Voucher
331	Race Change Voucher
332	Gender Change Voucher
333	Appearance Change Voucher
334	Extreme Dungeon Ticket
335	Kaia's Acquiescence
336	Riding Skill: Fast Velikan Gray
337	Firesnap
338	Firecracker String
339	Smilecracker
340	Spirit Favor
341	Princess Rida's Charm Bundle
342	Old Treasure Chest
343	Ancient Treasure Chest
344	Kaiator Midnight Oil
345	Comfort Food
346	Gelid Badge
347	Innervation Elixir
348	Suryati's Solvent
349	Golden Sand
350	Riding Skill: Federation Charger
351	Riding Skill: Quick-Start Charger
352	Manual: Outlaw Declaration
353	Suryati's Peak Teleport Scroll
354	Crystalbind (1 Hour)
355	Transference Serum
356	Practicum Badge
357	Dire Badge
358	Mini Chronoscroll
359	Squash Pie
360	Tertas Fruit Candy
361	Castanica Midnight Oil
362	Federation Supply: Scroll of Rapid Resurrection
363	Amarun's Bloodstone Necklace
364	Amethyst
365	Pearl
366	Ruby
367	Sapphire
368	Emerald
369	Diamond
370	Kaia's Gift Box
371	Phota's Trinket
372	Chronoscroll
373	Triple Chronoscroll
374	Saravash's Ascent Teleport Scroll
375	Sigil Adstringo Teleport Scroll
376	Luminous Gold Egg
377	Gilded Leaf Necklace
378	Riding Skill: Shadow Steed
379	Riding Skill: Electrum Wind
380	Riding Skill: Nexus Warhorse
381	Riding Skill: Razormane
382	Riding Skill: Aeolian Zebra
383	Riding Skill: Death Charger
384	Riding Skill: Jeweled Lion
385	Riding Skill: Tawny Huntress
386	Rescue Supplies
387	Veteran Battlement Necklace
388	Veteran Bloodstone Necklace
389	Veteran Bandage
390	Veteran Resurrection Scroll
391	Veteran Crystalbind
392	Veteran Midnight Oil
393	Federation Supply: Major Potion of Cultural Opportunity
394	Veteran Vigorous Renewal Draught
395	Veteran Infused Renewal Draught
396	Complete Veteran Crystalbind
397	Veteran Instance Reset Scroll
398	Federation Enigmatic Scroll
399	Semi-Enigmatic Scroll
400	Santa Candle
401	Uncommon Pet Santa Cat
402	Fat Loot
403	Tiny Treasure
404	Twenty
405	TERADEMY
406	Riding Skill: Black Leopard
407	Valkyon's Response
408	Valkyon's Response I
409	Valkyon's Response II
410	Valkyon's Response III
411	Valkyon's Response IV
412	Riding Skill: White Stallion
413	Riding Skill: Arcadian Dapple
414	Riding Skill: Blue Roan
415	Riding Skill: Velikan Gray
416	Riding Skill: Pinto
417	Riding Skill: Chestnut Gelding
418	Riding Skill: Regal Frostlion
419	City Wheel Earring
420	Bastion Teleport Scroll
421	Seren's Sand Ring
422	Velik's Bloodstone Necklace
423	Shakan's Bloodstone Necklace
424	Velik's Festival Hat
425	Riding Skill: Electrum Wind
426	Velik's Taunt
427	Velik's Barb
428	Velik's Wrap
429	Crystal Ore
430	Federation Supply: Sturdy Alkahest
431	Ruined Chocolate
432	Propaganda Pamphlet
433	Love Letter
434	Heart Chocolate
435	Heart Candy Cane
436	Golden Letter
437	Expedition Healing Potion
438	Expedition Mana Potion
439	Swirled Sweets
440	Triple Nexus Boon
441	Nexus Boon
442	Balder's Temple Teleport Scroll
443	Fane of Kaprima Teleport Scroll
444	[Legacy] Bravery Potion
445	Spellbind
446	Refined Alkahest
447	Depleted Masterwork Alkahest
448	Bound Refined Alkahest
449	Sirjuka Gallery Teleport Scroll
450	Riding Skill: Sleipnir
451	Riding Skill: Smolder
452	Riding Skill: Boneshaker
453	Riding Skill: Munchhausen
