id	class	gender	race	name
8881001	Common	Common	Common	Convergence
8881002	Common	Common	Common	Battle Will
8881003	Common	Common	Common	Impregnable
4999	Common	Common	Common	Self-Destruct
10100	Archer	Common	Common	Arrow I
10100	Assassin	Common	Common	Combo Attack I
10100	Berserker	Common	Common	Combo Attack I
10100	Elementalist	Common	Common	Sharan Bolt I
10100	Engineer	Common	Common	Blast I
10100	Fighter	Common	Common	Punch I
10100	Glaiver	Common	Common	Slash I
10100	Lancer	Common	Common	Combo Attack I
10100	Priest	Common	Common	Divine Radiance I
10100	Slayer	Common	Common	Combo Attack I
10100	Sorcerer	Common	Common	Fireball I
10100	Soulless	Common	Common	Spiral Barrage I
10100	Warrior	Common	Common	Combo Attack I
10101	Fighter	Common	Common	Punch I
10101	Glaiver	Common	Common	Slash I
10101	Soulless	Common	Common	Spiral Barrage I
10102	Fighter	Common	Common	Punch I
10102	Glaiver	Common	Common	Slash I
10102	Soulless	Common	Common	Spiral Barrage I
10103	Fighter	Common	Common	Punch I
10103	Glaiver	Common	Common	Slash I
10103	Soulless	Common	Common	Spiral Barrage I
10104	Soulless	Common	Common	Spiral Barrage I
10105	Soulless	Common	Common	Spiral Barrage I
10130	Glaiver	Common	Common	Slash I
10199	Glaiver	Common	Common	Slash I
10200	Archer	Common	Common	Arrow II
10200	Assassin	Common	Common	Combo Attack II
10200	Berserker	Common	Common	Combo Attack II
10200	Elementalist	Common	Common	Sharan Bolt II
10200	Engineer	Common	Common	Blast II
10200	Fighter	Common	Common	Punch II
10200	Glaiver	Common	Common	Slash II
10200	Lancer	Common	Common	Combo Attack II
10200	Priest	Common	Common	Divine Radiance II
10200	Slayer	Common	Common	Combo Attack II
10200	Sorcerer	Common	Common	Fireball II
10200	Soulless	Common	Common	Spiral Barrage II
10200	Warrior	Common	Common	Combo Attack II
10201	Fighter	Common	Common	Punch II
10201	Glaiver	Common	Common	Slash II
10201	Soulless	Common	Common	Spiral Barrage II
10202	Fighter	Common	Common	Punch II
10202	Glaiver	Common	Common	Slash II
10202	Soulless	Common	Common	Spiral Barrage II
10203	Fighter	Common	Common	Punch II
10203	Glaiver	Common	Common	Slash II
10203	Soulless	Common	Common	Spiral Barrage II
10204	Soulless	Common	Common	Spiral Barrage II
10205	Soulless	Common	Common	Spiral Barrage II
10230	Glaiver	Common	Common	Slash II
10299	Glaiver	Common	Common	Slash II
10300	Archer	Common	Common	Arrow III
10300	Assassin	Common	Common	Combo Attack III
10300	Berserker	Common	Common	Combo Attack III
10300	Elementalist	Common	Common	Sharan Bolt III
10300	Engineer	Common	Common	Blast III
10300	Fighter	Common	Common	Punch III
10300	Glaiver	Common	Common	Slash III
10300	Lancer	Common	Common	Combo Attack III
10300	Priest	Common	Common	Divine Radiance III
10300	Slayer	Common	Common	Combo Attack III
10300	Sorcerer	Common	Common	Fireball III
10300	Soulless	Common	Common	Spiral Barrage III
10300	Warrior	Common	Common	Combo Attack III
10301	Fighter	Common	Common	Punch III
10301	Glaiver	Common	Common	Slash III
10301	Soulless	Common	Common	Spiral Barrage III
10302	Fighter	Common	Common	Punch III
10302	Glaiver	Common	Common	Slash III
10302	Soulless	Common	Common	Spiral Barrage III
10303	Fighter	Common	Common	Punch III
10303	Glaiver	Common	Common	Slash III
10303	Soulless	Common	Common	Spiral Barrage III
10304	Soulless	Common	Common	Spiral Barrage III
10305	Soulless	Common	Common	Spiral Barrage III
